County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent
Oneida County,ID,513.0,12.2,47037.0,23.39181287,0.0,0.0,0.0,1.0,6.0,19.0,1.0,0.0,4275.0,698.0,594.0
Owyhee County,ID,2217.0,19.9,39738.0,200.488145,2.0,3.0,0.0,18.0,42.0,83.0,14.0,2.0,11472.0,589.0,560.0
Payette County,ID,3571.0,15.7,44499.0,234.4095533,0.0,4.0,0.0,49.0,119.0,292.0,14.0,5.0,22610.0,610.0,633.0
Power County,ID,1068.0,14.1,44004.0,142.5055059,0.0,1.0,0.0,10.0,14.0,84.0,6.0,0.0,7719.0,921.0,733.0
Shoshone County,ID,2577.0,21.1,37497.0,260.0472813,2.0,3.0,0.0,29.0,74.0,152.0,20.0,2.0,12690.0,551.0,550.0
Teton County,ID,1027.0,9.8,58013.0,58.39416058,0.0,2.0,0.0,4.0,26.0,29.0,1.0,0.0,10275.0,1609.0,1695.0
Twin Falls County,ID,11840.0,14.6,45799.0,272.6465475,4.0,24.0,19.0,171.0,334.0,1177.0,77.0,12.0,79957.0,740.0,683.0
Valley County,ID,1077.0,10.7,51774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4193.0,443.0,382.0
Washington County,ID,1687.0,17.1,38592.0,34.61405331,0.0,2.0,2.0,3.0,20.0,93.0,13.0,0.0,20223.0,875.0,876.0
Adams County,IL,8674.0,13.4,47264.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2360.0,772.0,690.0
Alexander County,IL,1915.0,28.6,32922.0,111.0208503,2.0,7.0,7.0,25.0,371.0,560.0,45.0,16.0,36930.0,579.0,595.0
Bond County,IL,2220.0,14.8,50206.0,28.62049227,0.0,0.0,2.0,3.0,59.0,162.0,9.0,1.0,17470.0,574.0,574.0
Boone County,IL,5477.0,10.3,62382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5388.0,530.0,550.0
Brown County,IL,782.0,16.7,53516.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,3.0,0.0,2926.0,666.0,706.0
Bureau County,IL,4167.0,12.6,51275.0,138.0079868,0.0,9.0,3.0,35.0,140.0,368.0,10.0,7.0,34056.0,663.0,588.0
Calhoun County,IL,558.0,11.6,51109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5059.0,992.0,1030.0
Carroll County,IL,1539.0,10.7,50432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385.0,540.0,549.0
Cass County,IL,1546.0,12.2,46647.0,51.99802408,0.0,7.0,5.0,8.0,224.0,986.0,56.0,2.0,38463.0,673.0,643.0
Champaign County,IL,38751.0,20.1,50813.0,86.17412242,1.0,3.0,4.0,26.0,229.0,677.0,27.0,6.0,39455.0,689.0,688.0
Christian County,IL,4059.0,12.7,49041.0,122.4561199,0.0,4.0,0.0,38.0,83.0,238.0,23.0,9.0,34298.0,844.0,787.0
Clark County,IL,2171.0,13.8,50700.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,867.0,531.0,499.0
Clay County,IL,1907.0,14.5,43577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6392.0,605.0,566.0
Clinton County,IL,3028.0,8.5,64030.0,19.71220185,0.0,1.0,0.0,1.0,8.0,10.0,6.0,0.0,10146.0,502.0,537.0
Cook County,IL,833241.0,16.2,56841.0,38.46153846,0.0,0.0,0.0,2.0,17.0,152.0,4.0,0.0,5200.0,957.0,889.0
Crawford County,IL,2410.0,13.4,49856.0,12.19735317,0.0,0.0,0.0,2.0,19.0,168.0,5.0,0.0,16397.0,486.0,475.0
Cumberland County,IL,1285.0,12.0,51505.0,58.9188393,0.0,1.0,1.0,2.0,32.0,14.0,4.0,0.0,6789.0,956.0,958.0
DeKalb County,IL,15847.0,16.2,56874.0,54.51713396,0.0,0.0,0.0,7.0,25.0,45.0,11.0,0.0,12840.0,574.0,504.0
De Witt County,IL,1846.0,11.6,54796.0,60.90133983,0.0,1.0,1.0,8.0,13.0,42.0,0.0,1.0,16420.0,525.0,410.0
Douglas County,IL,2009.0,10.2,53213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023.0,378.0,235.0
DuPage County,IL,65538.0,7.1,81616.0,94.62240083,6.0,115.0,259.0,502.0,2222.0,12033.0,495.0,101.0,932126.0,1216.0,1123.0
Edgar County,IL,2412.0,13.9,50306.0,317.3719376,0.0,4.0,3.0,50.0,88.0,154.0,12.0,2.0,17960.0,793.0,833.0
Edwards County,IL,732.0,11.3,48329.0,33.95585739,0.0,0.0,0.0,1.0,12.0,19.0,0.0,0.0,2945.0,513.0,498.0
Effingham County,IL,3313.0,9.8,53077.0,89.98090201,1.0,16.0,10.0,22.0,193.0,341.0,29.0,1.0,54456.0,558.0,447.0
Fayette County,IL,3711.0,18.5,41838.0,4.190939189,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,23861.0,497.0,457.0
Ford County,IL,1494.0,11.3,53151.0,318.1029497,0.0,11.0,1.0,32.0,64.0,122.0,3.0,0.0,13832.0,625.0,624.0
Franklin County,IL,7252.0,18.7,43428.0,32.41491086,1.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3085.0,719.0,751.0
Fulton County,IL,4874.0,14.9,44649.0,73.35322021,0.0,1.0,3.0,11.0,41.0,69.0,13.0,0.0,20449.0,0.0,0.0
Gallatin County,IL,936.0,17.9,40817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5415.0,825.0,637.0
Greene County,IL,2165.0,16.6,43943.0,21.06149958,0.0,0.0,0.0,3.0,10.0,11.0,6.0,0.0,14244.0,590.0,510.0
Grundy County,IL,3884.0,7.7,71928.0,64.96670456,0.0,0.0,0.0,8.0,13.0,57.0,3.0,1.0,12314.0,637.0,625.0
Hamilton County,IL,1055.0,13.0,45926.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,0.0,8368.0,674.0,603.0
Hancock County,IL,2319.0,12.7,48213.0,10.74229241,0.0,1.0,0.0,1.0,57.0,175.0,5.0,0.0,18618.0,455.0,490.0
Hardin County,IL,828.0,20.6,39128.0,56.88821466,0.0,4.0,6.0,8.0,268.0,550.0,11.0,5.0,31641.0,804.0,784.0
Henderson County,IL,793.0,11.5,47354.0,176.1913456,6.0,28.0,30.0,129.0,788.0,1601.0,161.0,3.0,109540.0,857.0,856.0
Henry County,IL,5215.0,10.7,58983.0,25.89834898,0.0,1.0,0.0,2.0,24.0,47.0,2.0,0.0,15445.0,375.0,374.0
Iroquois County,IL,3737.0,13.3,49836.0,69.00835001,1.0,6.0,1.0,12.0,100.0,289.0,11.0,3.0,28982.0,520.0,493.0
Jackson County,IL,13118.0,23.5,36613.0,22.34304014,0.0,1.0,0.0,1.0,29.0,28.0,7.0,0.0,13427.0,574.0,573.0
Jasper County,IL,1140.0,12.0,52608.0,6.071645416,0.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,16470.0,548.0,533.0
Jefferson County,IL,5998.0,16.7,46460.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,2.0,0.0,7560.0,1346.0,1359.0
Jersey County,IL,2455.0,11.4,53864.0,172.2538757,0.0,15.0,0.0,24.0,80.0,322.0,6.0,2.0,22641.0,680.0,536.0
Jo Daviess County,IL,2060.0,9.4,51201.0,142.8125139,0.0,11.0,0.0,21.0,56.0,143.0,8.0,1.0,22407.0,677.0,685.0
Johnson County,IL,1569.0,14.3,46838.0,58.32037325,0.0,0.0,0.0,3.0,1.0,20.0,2.0,0.0,5144.0,1216.0,1338.0
Kane County,IL,56882.0,10.8,70502.0,162.8972411,6.0,138.0,189.0,520.0,1601.0,6110.0,238.0,77.0,523643.0,1215.0,1156.0
Kankakee County,IL,16163.0,15.2,53227.0,308.5979308,8.0,49.0,82.0,207.0,658.0,2195.0,94.0,46.0,112120.0,725.0,763.0
Kendall County,IL,5950.0,4.8,88773.0,108.563258,1.0,18.0,4.0,18.0,118.0,469.0,21.0,0.0,37766.0,1087.0,1018.0
Knox County,IL,8149.0,17.2,43796.0,11.67542323,0.0,0.0,0.0,1.0,6.0,24.0,1.0,0.0,8565.0,554.0,536.0
Lake County,IL,61899.0,9.0,82160.0,41.47656574,1.0,2.0,0.0,2.0,15.0,72.0,5.0,0.0,12055.0,937.0,453.0
La Salle County,IL,13843.0,12.9,52316.0,176.4147103,0.0,0.0,1.0,12.0,13.0,29.0,1.0,3.0,7369.0,724.0,831.0
Lawrence County,IL,2454.0,17.7,43268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12514.0,609.0,549.0
Lee County,IL,4005.0,12.7,52581.0,63.27630654,0.0,3.0,7.0,44.0,299.0,464.0,31.0,20.0,85340.0,549.0,520.0
Livingston County,IL,4364.0,12.8,55474.0,85.00115911,0.0,14.0,1.0,40.0,169.0,953.0,15.0,2.0,64705.0,864.0,735.0
Logan County,IL,3445.0,13.7,58191.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,0.0,1946.0,523.0,549.0
McDonough County,IL,6247.0,22.8,42453.0,200.2217841,0.0,18.0,2.0,45.0,141.0,554.0,9.0,3.0,32464.0,610.0,624.0
McHenry County,IL,24659.0,8.1,80513.0,33.7723742,0.0,0.0,0.0,2.0,11.0,27.0,6.0,0.0,5922.0,675.0,674.0
McLean County,IL,18969.0,11.7,65766.0,42.12299916,0.0,1.0,0.0,3.0,21.0,19.0,2.0,0.0,9496.0,662.0,424.0
Macon County,IL,18784.0,18.2,48302.0,112.2367605,1.0,3.0,6.0,28.0,215.0,495.0,28.0,1.0,33857.0,471.0,476.0
Macoupin County,IL,6192.0,13.7,50460.0,179.1808874,0.0,7.0,1.0,76.0,141.0,455.0,16.0,6.0,46880.0,1064.0,1054.0
Madison County,IL,33734.0,12.9,52969.0,38.83997929,0.0,1.0,0.0,5.0,45.0,85.0,5.0,0.0,15448.0,763.0,777.0
Marion County,IL,6718.0,18.0,43018.0,40.91987888,0.0,0.0,0.0,5.0,35.0,56.0,8.0,0.0,12219.0,620.0,568.0
Marshall County,IL,1244.0,10.6,53610.0,31.83023873,0.0,2.0,0.0,1.0,3.0,7.0,1.0,0.0,9425.0,778.0,832.0
Mason County,IL,1869.0,13.9,43743.0,24.2248062,0.0,0.0,0.0,1.0,7.0,24.0,0.0,0.0,4128.0,555.0,538.0
Massac County,IL,2438.0,16.8,41548.0,398.0627612,1.0,11.0,3.0,45.0,45.0,287.0,11.0,0.0,15073.0,574.0,521.0
Menard County,IL,1258.0,10.3,64706.0,15.86420243,0.0,1.0,0.0,1.0,25.0,54.0,1.0,0.0,12607.0,511.0,456.0
Mercer County,IL,1581.0,10.1,57934.0,27.06359946,0.0,0.0,0.0,1.0,7.0,12.0,1.0,0.0,3695.0,683.0,684.0
Monroe County,IL,1669.0,5.0,79686.0,27.42543709,0.0,2.0,0.0,2.0,42.0,57.0,0.0,1.0,14585.0,563.0,615.0
Montgomery County,IL,4444.0,16.6,46006.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,9226.0,902.0,923.0
Morgan County,IL,4746.0,14.8,45259.0,19.65988401,0.0,1.0,0.0,1.0,7.0,36.0,2.0,1.0,10173.0,449.0,460.0
Moultrie County,IL,1248.0,8.6,58975.0,67.22237161,0.0,2.0,0.0,8.0,32.0,76.0,2.0,0.0,14876.0,654.0,610.0
Ogle County,IL,5289.0,10.4,57268.0,43.9056982,1.0,1.0,1.0,20.0,106.0,317.0,6.0,3.0,52385.0,874.0,870.0
Peoria County,IL,28269.0,15.6,53781.0,603.941007,14.0,53.0,347.0,723.0,1809.0,4545.0,290.0,61.0,188429.0,722.0,760.0
Perry County,IL,3213.0,16.8,46598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.0,699.0,638.0
Piatt County,IL,1054.0,6.5,65122.0,158.2182194,0.0,8.0,1.0,17.0,66.0,79.0,5.0,3.0,16433.0,0.0,0.0
Pike County,IL,2290.0,15.0,45106.0,24.76780186,0.0,3.0,1.0,0.0,15.0,44.0,2.0,0.0,16150.0,1062.0,1119.0
Pope County,IL,721.0,18.1,41150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4312.0,0.0,0.0
Pulaski County,IL,1396.0,24.7,35135.0,118.9228097,3.0,20.0,21.0,33.0,500.0,958.0,53.0,10.0,63907.0,0.0,0.0
Putnam County,IL,492.0,8.8,60590.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0,0.0,4875.0,722.0,774.0
Randolph County,IL,4049.0,14.3,50129.0,23.41280681,0.0,0.0,0.0,6.0,134.0,320.0,21.0,2.0,25627.0,525.0,675.0
Richland County,IL,2334.0,14.9,43332.0,28.22148219,0.0,0.0,0.0,5.0,12.0,66.0,0.0,0.0,17717.0,547.0,503.0
Rock Island County,IL,18596.0,13.2,50419.0,374.8523,4.0,42.0,80.0,426.0,721.0,3039.0,119.0,26.0,147258.0,777.0,714.0
St. Clair County,IL,42464.0,16.4,50416.0,203.9208416,9.0,15.0,20.0,132.0,341.0,1166.0,67.0,16.0,86308.0,472.0,419.0
Saline County,IL,5500.0,23.2,40873.0,104.0510544,0.0,3.0,2.0,10.0,89.0,182.0,13.0,3.0,14416.0,663.0,667.0
Sangamon County,IL,29798.0,15.3,57591.0,817.9969369,40.0,160.0,318.0,1110.0,2104.0,6278.0,875.0,76.0,199145.0,0.0,0.0
Schuyler County,IL,894.0,12.9,50720.0,68.83891693,0.0,0.0,0.0,3.0,6.0,19.0,1.0,1.0,4358.0,440.0,320.0
Scott County,IL,568.0,11.3,50474.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,1.0,5222.0,609.0,558.0
Shelby County,IL,2494.0,11.6,49633.0,8.360504975,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,11961.0,414.0,414.0
Stark County,IL,720.0,12.7,50083.0,84.64533604,0.0,0.0,0.0,5.0,24.0,41.0,4.0,1.0,5907.0,728.0,655.0
Stephenson County,IL,5814.0,13.0,46430.0,98.41677364,2.0,9.0,15.0,20.0,283.0,839.0,10.0,5.0,46740.0,518.0,493.0
Tazewell County,IL,11019.0,8.4,57747.0,167.7890393,2.0,14.0,7.0,51.0,288.0,924.0,40.0,10.0,44103.0,628.0,674.0
Union County,IL,2626.0,15.3,44221.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7277.0,516.0,546.0
Vermilion County,IL,14028.0,18.4,44705.0,565.1757149,4.0,63.0,88.0,299.0,955.0,1979.0,124.0,27.0,80329.0,629.0,601.0
Wabash County,IL,1396.0,12.2,51224.0,12.36170344,0.0,3.0,0.0,1.0,16.0,129.0,0.0,0.0,32358.0,608.0,595.0
Warren County,IL,2360.0,14.3,46189.0,47.53416518,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,8415.0,550.0,566.0
Washington County,IL,1231.0,8.8,57019.0,34.61405331,0.0,2.0,2.0,3.0,20.0,93.0,13.0,0.0,20223.0,875.0,876.0
Wayne County,IL,2097.0,12.8,47995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20539.0,526.0,509.0
White County,IL,2078.0,14.9,46588.0,171.6668029,3.0,1.0,6.0,32.0,36.0,218.0,24.0,2.0,24466.0,621.0,611.0
Whiteside County,IL,7138.0,12.8,45463.0,182.4278541,0.0,24.0,8.0,73.0,248.0,1129.0,41.0,1.0,57557.0,681.0,692.0
Will County,IL,53883.0,8.0,76293.0,167.6847351,21.0,108.0,249.0,767.0,2416.0,8545.0,430.0,140.0,682829.0,1000.0,1018.0
Williamson County,IL,10571.0,16.2,47678.0,129.7127717,2.0,24.0,28.0,204.0,372.0,1853.0,82.0,13.0,198901.0,865.0,838.0
Winnebago County,IL,41541.0,14.7,50024.0,75.80064431,0.0,1.0,1.0,6.0,13.0,32.0,1.0,1.0,10554.0,608.0,621.0
Woodford County,IL,2664.0,7.0,68233.0,58.56440812,0.0,3.0,1.0,19.0,66.0,308.0,10.0,1.0,39273.0,620.0,661.0
Adams County,IN,4416.0,12.8,49251.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2360.0,772.0,690.0
Allen County,IN,52689.0,14.6,50017.0,39.387524,0.0,3.0,3.0,3.0,75.0,77.0,12.0,1.0,20311.0,929.0,852.0
Bartholomew County,IN,9462.0,11.9,55580.0,168.369206,1.0,18.0,25.0,90.0,382.0,2138.0,234.0,5.0,79587.0,623.0,580.0
Benton County,IN,947.0,11.1,50754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8571.0,1039.0,1071.0
Blackford County,IN,1749.0,14.5,39611.0,80.12178511,0.0,1.0,3.0,6.0,66.0,193.0,7.0,0.0,12481.0,603.0,576.0
Boone County,IN,3734.0,6.0,75163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5388.0,530.0,550.0
Brown County,IN,1688.0,11.4,53801.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,3.0,0.0,2926.0,666.0,706.0
Carroll County,IN,1855.0,9.4,52550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385.0,540.0,549.0
Cass County,IN,4871.0,13.1,45575.0,51.99802408,0.0,7.0,5.0,8.0,224.0,986.0,56.0,2.0,38463.0,673.0,643.0
Clark County,IN,11832.0,10.4,51614.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,867.0,531.0,499.0
Clay County,IN,3351.0,12.9,48947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6392.0,605.0,566.0
Clinton County,IN,3761.0,11.9,50342.0,19.71220185,0.0,1.0,0.0,1.0,8.0,10.0,6.0,0.0,10146.0,502.0,537.0
Crawford County,IN,1943.0,18.7,41331.0,12.19735317,0.0,0.0,0.0,2.0,19.0,168.0,5.0,0.0,16397.0,486.0,475.0
Daviess County,IN,4711.0,14.6,47019.0,72.34145165,0.0,0.0,0.0,6.0,39.0,48.0,9.0,1.0,8294.0,625.0,624.0
Dearborn County,IN,4335.0,8.9,64093.0,54.10387945,2.0,2.0,6.0,17.0,64.0,502.0,8.0,0.0,49904.0,890.0,751.0
Decatur County,IN,3384.0,13.0,51625.0,12.29105211,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,8136.0,586.0,578.0
Delaware County,IN,24820.0,23.0,40633.0,75.14366496,2.0,32.0,59.0,45.0,797.0,2334.0,100.0,23.0,184979.0,771.0,761.0
Dubois County,IN,3179.0,7.6,57336.0,61.37721017,0.0,2.0,0.0,24.0,42.0,210.0,14.0,0.0,42361.0,561.0,550.0
Elkhart County,IN,27906.0,14.0,50117.0,405.8575111,8.0,61.0,149.0,596.0,1247.0,3629.0,334.0,34.0,200563.0,744.0,532.0
Fayette County,IN,3710.0,16.2,42538.0,4.190939189,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,23861.0,497.0,457.0
Floyd County,IN,8502.0,11.3,57367.0,41.31377815,1.0,3.0,4.0,8.0,61.0,135.0,16.0,1.0,38728.0,652.0,660.0
Fountain County,IN,1969.0,12.1,51108.0,23.69668246,1.0,0.0,0.0,3.0,12.0,33.0,1.0,1.0,16880.0,829.0,823.0
Franklin County,IN,2240.0,9.9,53263.0,32.41491086,1.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3085.0,719.0,751.0
Fulton County,IN,2329.0,11.7,51660.0,73.35322021,0.0,1.0,3.0,11.0,41.0,69.0,13.0,0.0,20449.0,0.0,0.0
Gibson County,IN,3608.0,11.0,53483.0,145.7812686,0.0,5.0,2.0,43.0,84.0,390.0,22.0,5.0,33612.0,591.0,564.0
Grant County,IN,11296.0,18.0,39984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7281.0,662.0,627.0
Greene County,IN,4710.0,14.7,47952.0,21.06149958,0.0,0.0,0.0,3.0,10.0,11.0,6.0,0.0,14244.0,590.0,510.0
Hamilton County,IN,14366.0,4.7,91844.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,0.0,0.0,8368.0,674.0,603.0
Hancock County,IN,4272.0,6.0,70277.0,10.74229241,0.0,1.0,0.0,1.0,57.0,175.0,5.0,0.0,18618.0,455.0,490.0
Harrison County,IN,4362.0,11.2,53719.0,55.43621371,0.0,0.0,0.0,8.0,33.0,115.0,15.0,1.0,14431.0,861.0,814.0
Hendricks County,IN,8477.0,5.5,73478.0,98.12904945,0.0,10.0,20.0,121.0,222.0,1467.0,77.0,4.0,153879.0,803.0,770.0
Henry County,IN,6636.0,14.7,47954.0,25.89834898,0.0,1.0,0.0,2.0,24.0,47.0,2.0,0.0,15445.0,375.0,374.0
Howard County,IN,13724.0,16.9,47390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.0,797.0,774.0
Jackson County,IN,5250.0,12.1,45504.0,22.34304014,0.0,1.0,0.0,1.0,29.0,28.0,7.0,0.0,13427.0,574.0,573.0
Jasper County,IN,3012.0,9.3,60195.0,6.071645416,0.0,0.0,0.0,1.0,3.0,6.0,2.0,0.0,16470.0,548.0,533.0
Jay County,IN,3161.0,15.2,42646.0,150.0234412,0.0,0.0,4.0,28.0,52.0,300.0,19.0,0.0,21330.0,606.0,607.0
Jefferson County,IN,4069.0,13.4,47841.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0,2.0,0.0,7560.0,1346.0,1359.0
Jennings County,IN,3594.0,13.1,46047.0,385.9636698,0.0,8.0,0.0,102.0,310.0,420.0,15.0,0.0,28241.0,0.0,0.0
Johnson County,IN,11720.0,8.0,68256.0,58.32037325,0.0,0.0,0.0,3.0,1.0,20.0,2.0,0.0,5144.0,1216.0,1338.0
Knox County,IN,6735.0,19.1,42818.0,11.67542323,0.0,0.0,0.0,1.0,6.0,24.0,1.0,0.0,8565.0,554.0,536.0
Kosciusko County,IN,7702.0,10.0,54147.0,174.4417224,2.0,10.0,6.0,119.0,179.0,983.0,50.0,7.0,77963.0,768.0,736.0
Lake County,IN,79740.0,16.6,50613.0,41.47656574,1.0,2.0,0.0,2.0,15.0,72.0,5.0,0.0,12055.0,937.0,453.0
Lawrence County,IN,6202.0,13.9,46890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12514.0,609.0,549.0
Madison County,IN,20636.0,16.7,45065.0,38.83997929,0.0,1.0,0.0,5.0,45.0,85.0,5.0,0.0,15448.0,763.0,777.0
Marion County,IN,189323.0,20.6,41407.0,40.91987888,0.0,0.0,0.0,5.0,35.0,56.0,8.0,0.0,12219.0,620.0,568.0
Marshall County,IN,4867.0,10.6,49714.0,31.83023873,0.0,2.0,0.0,1.0,3.0,7.0,1.0,0.0,9425.0,778.0,832.0
Martin County,IN,1381.0,13.8,47717.0,78.74015748,0.0,0.0,0.0,8.0,26.0,69.0,9.0,5.0,10160.0,789.0,835.0
Miami County,IN,4786.0,14.8,46968.0,64.7724746,1.0,17.0,35.0,13.0,561.0,2340.0,78.0,20.0,103439.0,813.0,814.0
Monroe County,IN,30425.0,23.5,45341.0,27.42543709,0.0,2.0,0.0,2.0,42.0,57.0,0.0,1.0,14585.0,563.0,615.0
Montgomery County,IN,4543.0,12.3,49425.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,9226.0,902.0,923.0
Morgan County,IN,7814.0,11.4,58376.0,19.65988401,0.0,1.0,0.0,1.0,7.0,36.0,2.0,1.0,10173.0,449.0,460.0
Newton County,IN,1683.0,12.2,48316.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,21689.0,774.0,779.0
Noble County,IN,4560.0,9.8,51876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14628.0,654.0,626.0
Ohio County,IN,597.0,10.2,53177.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5994.0,577.0,574.0
Orange County,IN,3034.0,15.7,40918.0,58.79301401,1.0,7.0,1.0,8.0,192.0,238.0,18.0,10.0,28915.0,991.0,772.0
Parke County,IN,2625.0,17.2,43637.0,58.13277526,0.0,2.0,1.0,7.0,17.0,19.0,1.0,1.0,17202.0,619.0,643.0
Perry County,IN,2341.0,13.2,47192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10020.0,699.0,638.0
Pike County,IN,1365.0,11.1,47324.0,24.76780186,0.0,3.0,1.0,0.0,15.0,44.0,2.0,0.0,16150.0,1062.0,1119.0
Porter County,IN,18931.0,11.6,66070.0,105.0691355,5.0,18.0,19.0,133.0,561.0,2380.0,182.0,13.0,166557.0,892.0,796.0
Posey County,IN,2442.0,9.7,58298.0,39.23722828,0.0,1.0,3.0,6.0,107.0,299.0,23.0,2.0,25486.0,663.0,636.0
Pulaski County,IN,1799.0,14.2,47455.0,118.9228097,3.0,20.0,21.0,33.0,500.0,958.0,53.0,10.0,63907.0,0.0,0.0
Putnam County,IN,4373.0,13.6,53910.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,2.0,0.0,4875.0,722.0,774.0
Randolph County,IN,4460.0,18.0,41315.0,23.41280681,0.0,0.0,0.0,6.0,134.0,320.0,21.0,2.0,25627.0,525.0,675.0
Ripley County,IN,2983.0,10.6,51553.0,84.45054365,1.0,4.0,1.0,18.0,113.0,308.0,13.0,1.0,28419.0,514.0,504.0
Rush County,IN,2278.0,13.9,48970.0,82.33356857,0.0,5.0,2.0,7.0,125.0,355.0,11.0,0.0,17004.0,883.0,888.0
St. Joseph County,IN,42922.0,16.7,46881.0,311.6593399,0.0,61.0,7.0,122.0,256.0,853.0,52.0,7.0,60964.0,523.0,445.0
Scott County,IN,3637.0,15.6,43104.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,1.0,5222.0,609.0,558.0
Shelby County,IN,5205.0,11.9,54639.0,8.360504975,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,11961.0,414.0,414.0
Spencer County,IN,1931.0,9.4,56451.0,42.97173415,5.0,5.0,0.0,0.0,2.0,11.0,0.0,0.0,20944.0,648.0,648.0
Starke County,IN,3388.0,14.8,48106.0,116.3943613,0.0,2.0,0.0,25.0,34.0,151.0,10.0,3.0,23197.0,737.0,778.0
Steuben County,IN,3316.0,10.1,53191.0,43.65795448,2.0,4.0,6.0,3.0,174.0,816.0,21.0,4.0,34358.0,630.0,627.0
Sullivan County,IN,3057.0,16.4,44939.0,51.83056118,3.0,1.0,0.0,7.0,64.0,252.0,17.0,0.0,21223.0,612.0,542.0
Switzerland County,IN,1651.0,15.9,46344.0,28.50085503,0.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,10526.0,866.0,817.0
Tippecanoe County,IN,32336.0,18.9,50170.0,302.4853752,1.0,63.0,87.0,394.0,1032.0,3725.0,275.0,16.0,180174.0,0.0,0.0
Tipton County,IN,1313.0,8.7,56292.0,102.2364217,0.0,1.0,0.0,15.0,97.0,173.0,6.0,0.0,15650.0,745.0,675.0
Union County,IN,882.0,12.4,45050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7277.0,516.0,546.0
Vanderburgh County,IN,30123.0,17.2,43823.0,309.2647107,8.0,56.0,199.0,298.0,1132.0,4544.0,422.0,76.0,181398.0,1351.0,1492.0
Vermillion County,IN,1980.0,12.9,44376.0,132.2584708,0.0,1.0,1.0,19.0,53.0,107.0,7.0,1.0,15878.0,659.0,721.0
