County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent
Contra Costa County,CA,114123.0,10.2,83036.0,400.6561842,56.0,169.0,1603.0,2556.0,8556.0,16973.0,7258.0,164.0,1094205.0,1404.0,1358.0
Del Norte County,CA,5639.0,23.3,38963.0,556.0937108,1.0,22.0,24.0,108.0,288.0,283.0,116.0,6.0,27873.0,771.0,739.0
El Dorado County,CA,16634.0,9.1,75575.0,244.309084,3.0,26.0,57.0,358.0,983.0,1759.0,209.0,12.0,181737.0,1028.0,951.0
Fresno County,CA,241669.0,25.2,46608.0,534.2980847,76.0,170.0,1410.0,3448.0,10493.0,24451.0,6909.0,415.0,955272.0,1005.0,1005.0
Glenn County,CA,5105.0,18.5,43584.0,279.1696492,0.0,2.0,7.0,69.0,230.0,400.0,102.0,7.0,27940.0,785.0,736.0
Humboldt County,CA,27616.0,20.9,40739.0,30.96614368,0.0,0.0,1.0,2.0,25.0,49.0,11.0,0.0,9688.0,762.0,798.0
Imperial County,CA,41685.0,24.3,39925.0,278.6209396,3.0,20.0,111.0,358.0,2037.0,3508.0,718.0,28.0,176584.0,475.0,476.0
Inyo County,CA,2222.0,12.4,51697.0,449.4503709,0.0,4.0,4.0,75.0,103.0,211.0,11.0,0.0,18467.0,0.0,0.0
Kern County,CA,185990.0,21.9,51150.0,575.8432818,65.0,174.0,1313.0,3424.0,10931.0,17584.0,6246.0,589.0,864124.0,586.0,599.0
Kings County,CA,30117.0,22.4,46440.0,508.081611,4.0,55.0,106.0,602.0,813.0,2222.0,405.0,34.0,150960.0,973.0,876.0
Lake County,CA,13006.0,20.5,37993.0,41.47656574,1.0,2.0,0.0,2.0,15.0,72.0,5.0,0.0,12055.0,937.0,453.0
Lassen County,CA,3957.0,17.1,54670.0,410.4094767,1.0,8.0,11.0,112.0,166.0,334.0,31.0,9.0,32163.0,801.0,748.0
Los Angeles County,CA,1675802.0,16.7,59045.0,444.800814,600.0,1976.0,18923.0,23057.0,49107.0,142604.0,40555.0,2210.0,10017068.0,1010.0,1005.0
Madera County,CA,33258.0,22.6,46593.0,612.9051309,2.0,35.0,139.0,758.0,1654.0,1715.0,648.0,11.0,152389.0,0.0,0.0
Marin County,CA,19100.0,7.5,99868.0,189.6541714,0.0,30.0,156.0,304.0,1253.0,3254.0,584.0,42.0,258365.0,3549.0,3700.0
Mariposa County,CA,2627.0,15.2,44595.0,399.8873557,3.0,2.0,2.0,64.0,93.0,222.0,22.0,0.0,17755.0,278.0,219.0
Mendocino County,CA,17508.0,20.3,43237.0,410.5881274,6.0,27.0,46.0,279.0,563.0,981.0,190.0,38.0,87192.0,813.0,852.0
Merced County,CA,68026.0,25.9,42879.0,696.3544912,23.0,54.0,331.0,1425.0,2686.0,6047.0,1358.0,83.0,263228.0,1147.0,1143.0
Modoc County,CA,1769.0,20.3,38402.0,754.3456871,1.0,12.0,3.0,53.0,58.0,90.0,4.0,5.0,9147.0,0.0,0.0
Mono County,CA,1531.0,11.2,53992.0,312.6332244,0.0,4.0,9.0,31.0,86.0,170.0,2.0,1.0,14074.0,1073.0,1106.0
