County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Putnam County,OH,0.086,0.361,Very Low,0.0,0.203,0.547,-81.81221,14.4
Richland County,OH,0.266,0.217,Very Low,0.002,0.154,0.757,-90.38342,14.5
Ross County,OH,0.327,0.221,Very Low,0.008,0.197,0.585,-82.994059,18.4
Sandusky County,OH,0.2,0.263,Very Low,0.006,0.0,0.675,-83.045771,0.0
Scioto County,OH,0.445,0.14,Very Low,0.008,0.192,0.564,-82.848892,21.9
Seneca County,OH,0.232,0.25,Very Low,0.006,0.0,0.657,-83.104977,0.0
Shelby County,OH,0.125,0.352,Very Low,0.001,0.117,0.266,-94.245706,8.4
Stark County,OH,0.227,0.253,Very Low,0.001,0.205,0.642,-81.25981,17.8
Summit County,OH,0.25,0.277,Very Low,0.003,0.258,0.641,-111.272208,21.3
Trumbull County,OH,0.323,0.194,Very Low,0.021,0.0,0.661,-80.645902,0.0
Tuscarawas County,OH,0.218,0.24,Very Low,0.009,0.0,0.641,-81.367055,0.0
Union County,OH,0.095,0.517,Very Low,0.001,0.145,0.452,-83.806439,8.1
Van Wert County,OH,0.177,0.275,Very Low,0.003,0.277,0.647,-84.455899,23.0
Vinton County,OH,0.352,0.182,Very Low,0.001,0.164,0.581,-82.478691,16.8
Warren County,OH,0.041,0.568,Very Low,0.001,0.155,0.421,-85.860575,8.1
Washington County,OH,0.264,0.212,Very Low,0.002,0.247,0.761,-88.047646,23.5
Wayne County,OH,0.18,0.29,Very Low,0.002,0.148,0.537,-82.441558,12.0
Williams County,OH,0.195,0.254,Very Low,0.004,0.178,0.678,-84.416869,15.5
Wood County,OH,0.189,0.335,Very Low,0.007,0.22,0.578,-81.513284,16.3
Wyandot County,OH,0.123,0.274,Very Low,0.002,0.2,0.648,-83.131189,16.6
Adair County,OK,0.568,0.084,Very Low,0.001,0.222,0.534,-84.7074267,30.0
Alfalfa County,OK,0.255,0.288,Very Low,0.001,0.274,0.47,-98.423742,22.2
Atoka County,OK,0.445,0.116,Very Low,0.001,0.195,0.369,-96.167069,23.8
Beaver County,OK,0.175,0.356,Very Low,0.001,0.223,0.663,-111.9796548,16.0
Beckham County,OK,0.239,0.277,Very Low,0.002,0.227,0.416,-99.920299,18.8
Blaine County,OK,0.293,0.2,Very Low,0.0,0.066,0.447,-98.550984,6.5
Bryan County,OK,0.334,0.175,Very Low,0.003,0.194,0.349,-96.504409,20.2
Caddo County,OK,0.407,0.201,Low,0.003,0.218,0.419,-98.3574,21.3
Canadian County,OK,0.145,0.392,Low,0.013,0.299,0.418,-97.513657,20.1
Carter County,OK,0.293,0.217,Very Low,0.0,0.145,0.455,-82.232529,13.6
Cherokee County,OK,0.411,0.172,Very Low,0.022,0.0,0.275,-95.122103,0.0
Choctaw County,OK,0.602,0.075,Very Low,0.001,0.125,0.356,-95.696291,17.5
Cimarron County,OK,0.309,0.205,Very Low,0.0,0.182,0.476,-102.251844,17.6
Cleveland County,OK,0.184,0.355,Very Low,0.001,0.263,0.402,-97.282809,18.8
Coal County,OK,0.364,0.156,Very Low,0.001,0.154,0.381,-96.420395,16.9
Comanche County,OK,0.266,0.232,Very Low,0.001,0.194,0.262,-98.402529,17.6
Craig County,OK,0.336,0.177,Very Low,0.001,0.181,0.469,-95.161001,18.8
Creek County,OK,0.28,0.238,Very Low,0.007,0.0,0.431,-96.65007,0.0
Custer County,OK,0.33,0.241,Very Low,0.0,0.172,0.769,-103.594582,15.4
Delaware County,OK,0.389,0.155,Very Low,0.018,0.217,0.608,-75.344502,23.8
Dewey County,OK,0.22,0.292,Very Low,0.001,0.156,0.84,-100.901179,12.5
Ellis County,OK,0.193,0.336,Very Low,0.0,0.775,0.287,-97.10224,57.3
Garfield County,OK,0.252,0.254,Very Low,0.0,0.189,0.892,-117.596667,16.4
Garvin County,OK,0.245,0.226,Very Low,0.003,0.167,0.383,-97.162545,15.4
Grady County,OK,0.22,0.294,Very Low,0.002,0.144,0.388,-97.957193,11.5
Grant County,OK,0.182,0.27,Very Low,0.001,0.187,0.74,-90.97229,15.7
Greer County,OK,0.461,0.132,Very Low,0.001,0.22,0.4,-99.509979,25.7
Harmon County,OK,0.459,0.1,Low,0.0,0.14,0.385,-99.915443,18.0
Harper County,OK,0.145,0.289,Very Low,0.0,0.0,0.468,-99.748479,0.0
Haskell County,OK,0.334,0.136,Very Low,0.001,0.179,0.326,-99.673674,20.6
Hughes County,OK,0.38,0.144,Very Low,0.001,0.181,0.802,-100.319996,20.4
Jackson County,OK,0.314,0.212,Very Low,0.001,0.162,0.562,-81.708811,15.4
Jefferson County,OK,0.375,0.129,Very Low,0.001,0.379,0.579,-77.810685,44.6
Johnston County,OK,0.409,0.156,Very Low,0.001,0.204,0.374,-96.629676,22.3
Kay County,OK,0.348,0.199,Low,0.005,0.162,0.479,-97.055436,15.9
Kingfisher County,OK,0.164,0.355,Very Low,0.001,0.162,0.44,-98.118394,11.6
Kiowa County,OK,0.402,0.144,Very Low,0.0,0.126,0.385,-98.952306,14.2
Le Flore County,OK,0.361,0.149,Very Low,0.005,0.133,0.397,-94.720638,14.8
Lincoln County,OK,0.257,0.234,Very Low,0.0,0.0,0.736,-110.900716,0.0
Logan County,OK,0.22,0.34,Very Low,0.0,0.147,0.518,-81.984432,10.8
Love County,OK,0.205,0.217,Very Low,0.001,0.205,0.346,-97.139157,19.3
McClain County,OK,0.166,0.328,Very Low,0.004,0.196,0.394,-97.316573,14.8
McCurtain County,OK,0.498,0.086,Low,0.003,0.096,0.375,-94.645942,12.9
McIntosh County,OK,0.407,0.125,Very Low,0.0,0.161,0.413,-95.511754,19.2
Major County,OK,0.168,0.312,Very Low,0.001,0.106,0.451,-98.326401,8.2
Marshall County,OK,0.311,0.179,Very Low,0.001,0.219,0.616,-80.696027,22.6
Mayes County,OK,0.343,0.228,Very Low,0.004,0.241,0.45,-95.216708,22.2
Murray County,OK,0.25,0.22,Very Low,0.001,0.247,0.79,-95.670244,23.1
Muskogee County,OK,0.402,0.169,High,0.007,0.163,0.419,-95.30932,17.2
Noble County,OK,0.191,0.282,Very Low,0.001,0.184,0.465,-97.152909,15.1
Nowata County,OK,0.295,0.199,Very Low,0.001,0.158,0.48,-95.804696,15.6
Okfuskee County,OK,0.466,0.14,Very Low,0.001,0.108,0.413,-96.135699,12.4
Oklahoma County,OK,0.291,0.261,Medium,0.075,0.192,0.415,-97.481423,16.5
Okmulgee County,OK,0.434,0.164,Very Low,0.004,0.19,0.424,-95.862057,20.3
Osage County,OK,0.293,0.225,Very Low,0.001,0.138,0.476,-96.71331,12.8
Ottawa County,OK,0.445,0.129,Very Low,0.004,0.174,0.482,-94.786745,20.5
Pawnee County,OK,0.286,0.216,Very Low,0.0,0.136,0.457,-96.703909,12.8
Payne County,OK,0.439,0.183,Very Low,0.008,0.142,0.442,-96.904627,14.5
Pittsburg County,OK,0.309,0.198,Very Low,0.004,0.187,0.405,-95.775998,18.4
Pontotoc County,OK,0.273,0.213,Very Low,0.003,0.162,0.383,-96.525636,15.4
Pottawatomie County,OK,0.309,0.201,Very Low,0.002,0.189,0.409,-96.933445,18.5
Pushmataha County,OK,0.402,0.117,Very Low,0.001,0.14,0.363,-95.404544,17.0
Roger Mills County,OK,0.168,0.332,Very Low,0.0,0.18,0.426,-99.923701,13.4
Rogers County,OK,0.15,0.392,Very Low,0.009,0.304,0.452,-95.657924,20.4
Seminole County,OK,0.393,0.157,Very Low,0.003,0.148,0.396,-96.525316,16.1
Sequoyah County,OK,0.477,0.134,Very Low,0.004,0.277,0.422,-94.495373,32.2
Stephens County,OK,0.277,0.243,Very Low,0.001,0.146,0.301,-98.911862,13.0
Texas County,OK,0.182,0.274,Very Low,0.003,0.192,0.478,-101.216113,16.0
Tillman County,OK,0.448,0.149,Low,0.001,0.183,0.377,-98.980911,20.3
Tulsa County,OK,0.284,0.276,Medium,0.062,0.219,0.447,-96.131876,18.2
Wagoner County,OK,0.155,0.34,Very Low,0.008,0.193,0.435,-95.307721,14.2
Washington County,OK,0.23,0.283,Very Low,0.002,0.247,0.761,-88.047646,20.2
Washita County,OK,0.282,0.259,Very Low,0.001,0.159,0.405,-99.059357,13.7
Woodward County,OK,0.191,0.363,Very Low,0.002,0.209,0.459,-99.404726,14.8
Baker County,OR,0.27,0.174,Very Low,0.002,0.238,0.837,-123.1954117,24.8
Benton County,OR,0.339,0.309,Very Low,0.001,0.293,0.879,-119.044842,22.8
Clackamas County,OR,0.136,0.453,Very Low,0.039,0.31,0.845,-122.676463,19.0
Clatsop County,OR,0.239,0.237,Very Low,0.004,0.3,0.877,-123.37144,26.9
Columbia County,OR,0.227,0.283,Very Low,0.013,0.204,0.762,-89.240512,16.7
Coos County,OR,0.348,0.156,Very Low,0.003,0.124,0.737,-124.076248,13.5
Crook County,OR,0.284,0.215,Very Low,0.001,0.218,0.803,-104.366209,20.6
Curry County,OR,0.314,0.148,Very Low,0.002,0.0,0.712,-124.398775,0.0
Douglas County,OR,0.366,0.183,Very Low,0.0,0.107,0.882,-91.799516,10.9
