County,State,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Population,Mean_Rent,Latitude,Longitude,Pct_Income_as_Rent
Autauga County,AL,Low,Low,Very Low,Very Low,Low,Low,-87.5492688,7.5
Baldwin County,AL,Low,Low,Very Low,Very Low,Low,Low,-83.248796,14.9
Barbour County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.5793264,24.3
Bibb County,AL,Medium,Low,Very Low,Very Low,Low,Low,-83.679411,19.0
Blount County,AL,Low,Low,Very Low,Very Low,Low,Medium,-83.868542,16.6
Butler County,AL,Medium,Low,Very Low,Very Low,Low,High,-79.896456,28.0
Calhoun County,AL,Medium,Low,Very Low,Very Low,Low,Very Low,-96.555402,28.3
Chambers County,AL,Medium,Low,Very Low,Very Low,Medium,Very Low,-94.885527,51.0
Cherokee County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.122103,0.0
Chilton County,AL,Medium,Low,Low,Very Low,Low,Low,-86.745644,0.0
Choctaw County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.696291,15.2
Clarke County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-77.862643,22.3
Clay County,AL,Medium,Low,Very Low,Very Low,Low,Low,-98.231798,18.7
Cleburne County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-92.214364,16.0
Coffee County,AL,Low,Low,Low,Very Low,Low,Medium,-86.083241,23.4
Colbert County,AL,Medium,Low,Low,Very Low,Low,Low,-87.633774,21.3
Conecuh County,AL,Medium,Low,Medium,Very Low,Low,Low,-86.725954,0.0
Coosa County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.208345,10.2
Covington County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.544609,15.1
Crenshaw County,AL,Medium,Low,Low,Very Low,Low,Low,-86.302008,15.2
Cullman County,AL,Medium,Low,Very Low,Very Low,Low,Low,-86.611799,23.6
Dale County,AL,Medium,Low,Low,Very Low,Low,Low,-85.537836,18.5
Dallas County,AL,High,Low,Very Low,Very Low,Low,Low,-96.708069,46.7
DeKalb County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-85.821149,18.5
Elmore County,AL,Low,Low,Very Low,Very Low,Low,High,-115.696992,18.1
Escambia County,AL,Medium,Low,Medium,Very Low,Low,Very Low,-87.29402,26.1
Etowah County,AL,Medium,Low,Low,Very Low,Low,Low,-86.058499,19.5
Fayette County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.150437,16.1
Franklin County,AL,Medium,Low,Very Low,Very Low,Low,Very High,-118.556564,22.4
Geneva County,AL,Medium,Low,Low,Very Low,Low,Low,-85.475891,0.0
Greene County,AL,High,Low,Very Low,Very Low,Low,Medium,-82.819673,27.9
Hale County,AL,Medium,Low,Very Low,Very Low,Low,Low,-87.627545,24.7
Henry County,AL,Low,Low,Very Low,Very Low,Low,Medium,-79.894608,10.6
Houston County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.18537,18.4
Jackson County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-81.708811,17.1
Jefferson County,AL,Low,Low,Very Low,Very Low,Medium,Medium,-77.810685,33.4
Lamar County,AL,Medium,Low,Very Low,Very Low,Low,Low,-95.724933,17.9
Lauderdale County,AL,Low,Low,Very Low,Very Low,Low,Medium,-89.534107,17.7
Lawrence County,AL,Medium,Low,Very Low,Very Low,Low,Low,-87.501768,17.5
Lee County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-83.057415,14.2
Limestone County,AL,Low,Low,Very Low,Very Low,Low,Low,-96.528061,14.1
Lowndes County,AL,High,Low,Very Low,Very Low,Low,Low,-88.34318,41.9
Macon County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-85.848095,19.1
Madison County,AL,Low,Medium,Very Low,Very Low,Low,Low,-95.7565,15.5
Marengo County,AL,Medium,Low,Low,Very Low,Low,Low,-87.623706,22.2
Marion County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.220774,21.3
Marshall County,AL,Medium,Low,Very Low,Very Low,Low,High,-80.696027,23.0
Mobile County,AL,Medium,Low,Low,Very Low,Low,Low,-88.131418,20.5
Monroe County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.795017,19.2
Montgomery County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-80.488108,25.4
Morgan County,AL,Low,Low,Very Low,Very Low,Low,Medium,-78.455275,11.4
Perry County,AL,High,Low,Very Low,Very Low,Low,High,-77.133946,32.0
Pickens County,AL,Medium,Low,Very Low,Very Low,Low,Low,-82.812407,35.0
Pike County,AL,Medium,Low,Very Low,Very Low,Low,High,-74.890774,37.0
Randolph County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-79.963734,16.9
Russell County,AL,Medium,Low,Very Low,Very Low,Low,Medium,-82.078511,18.6
St. Clair County,AL,Low,Low,Very Low,Very Low,Low,Medium,-93.698005,10.6
Shelby County,AL,Low,Medium,Very Low,Very Low,Low,Low,-94.245706,7.0
Sumter County,AL,High,Low,Very Low,Very Low,Medium,Low,-80.52594,55.2
Talladega County,AL,Medium,Low,Low,Very Low,Low,Low,-86.256886,22.2
Tuscaloosa County,AL,Medium,Low,Low,Very Low,Low,Low,-87.5283,21.3
Walker County,AL,Medium,Low,Very Low,Very Low,Low,Low,-85.289568,21.4
Washington County,AL,Medium,Low,Very Low,Very Low,Low,High,-88.047646,24.6
Wilcox County,AL,High,Low,Very Low,Very Low,Low,Low,-83.456882,29.6
Winston County,AL,Medium,Low,Very Low,Very Low,Low,Low,-89.063532,18.3
Apache County,AZ,High,Low,Very Low,Very Low,Low,Low,-114.6193128,0.0
Cochise County,AZ,Low,Low,Medium,Very Low,Low,Low,-109.835734,15.9
Coconino County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.700842,15.3
Gila County,AZ,Medium,Low,Very Low,Very Low,Low,Low,-110.761707,17.2
Graham County,AZ,Medium,Low,Very Low,Very Low,Low,Medium,-83.805451,12.6
Greenlee County,AZ,Low,Medium,Medium,Very Low,Low,Low,-109.19605,14.0
La Paz County,AZ,Medium,Low,Low,Very Low,Low,Low,-113.543231,16.8
Maricopa County,AZ,Low,Low,Low,Medium,Low,Low,-112.525091,0.0
Mohave County,AZ,Low,Low,Very Low,Very Low,Low,Low,-114.146145,17.1
Navajo County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.098534,24.2
Pima County,AZ,Medium,Low,Low,Very Low,Low,Low,-110.700994,0.0
Pinal County,AZ,Low,Low,Very Low,Very Low,Low,Low,-111.816729,13.1
Santa Cruz County,AZ,Medium,Low,Very Low,Very Low,Medium,Medium,-122.04136,43.3
Yavapai County,AZ,Low,Low,Low,Very Low,Low,Medium,-112.857246,17.1
Yuma County,AZ,Medium,Low,Very Low,Very Low,Low,High,-102.228622,20.5
Arkansas County,AR,Medium,Low,Medium,Very Low,Low,Medium,-93.2782641,32.1
Ashley County,AR,Medium,Low,Very Low,Very Low,Low,Low,-92.016978,18.1
Baxter County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.276531,23.9
Benton County,AR,Low,Medium,Very Low,Very Low,Low,Very High,-119.044842,20.7
Boone County,AR,Low,Low,Very Low,Very Low,Low,Medium,-81.71774,15.5
Bradley County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-84.909587,24.2
Calhoun County,AR,Low,Low,Very Low,Very Low,Low,Very Low,-96.555402,29.4
Carroll County,AR,Low,Low,Very Low,Very Low,Low,Medium,-80.809459,17.2
Chicot County,AR,Medium,Low,Medium,Very Low,Low,Low,-91.432296,22.0
Clark County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-90.598773,16.8
Clay County,AR,Medium,Low,Very Low,Very Low,Low,Low,-98.231798,20.6
Cleburne County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.214364,15.4
Cleveland County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-97.282809,25.3
Columbia County,AR,Medium,Low,Very Low,Very Low,Low,High,-89.240512,22.8
Conway County,AR,Low,Low,Very Low,Very Low,Low,Medium,-92.773566,15.5
Craighead County,AR,Low,Low,Low,Very Low,Low,Medium,-90.679033,21.1
Crawford County,AR,Low,Low,Very Low,Very Low,Low,High,-90.898947,12.5
Crittenden County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-88.244822,16.9
Cross County,AR,Medium,Low,Low,Very Low,Low,Medium,-90.788362,21.7
Dallas County,AR,Medium,Low,Very Low,Very Low,Low,Low,-96.708069,41.6
Desha County,AR,Medium,Low,Low,Very Low,Low,Low,-91.25727,37.6
Drew County,AR,Medium,Low,Low,Very Low,Low,Low,-91.470406,19.4
Faulkner County,AR,Low,Low,Low,Very Low,Low,Medium,-92.336747,16.4
Franklin County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-118.556564,20.6
Fulton County,AR,Medium,Low,Very Low,Very Low,Low,High,-78.192598,0.0
Grant County,AR,Low,Low,Very Low,Very Low,Low,High,-90.97229,16.7
Greene County,AR,Low,Low,Very Low,Very Low,Low,Medium,-82.819673,16.1
Hempstead County,AR,Medium,Low,Medium,Very Low,Low,Low,-93.720824,0.0
Hot Spring County,AR,Medium,Low,Very Low,Very Low,Low,Low,-92.809575,19.5
Howard County,AR,Medium,Low,Very Low,Very Low,Low,Low,-101.308823,28.8
Independence County,AR,Low,Low,Low,Very Low,Low,Medium,-91.500105,17.9
Izard County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.938513,15.2
Jackson County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-81.708811,21.1
Jefferson County,AR,Medium,Low,Very Low,Very Low,Medium,Medium,-77.810685,43.7
Johnson County,AR,Medium,Low,Very Low,Very Low,Medium,Low,-97.120532,40.7
Lafayette County,AR,Medium,Low,Very Low,Very Low,Low,High,-89.857206,25.6
Lawrence County,AR,Medium,Low,Very Low,Very Low,Low,Low,-87.501768,21.0
Lee County,AR,High,Low,Very Low,Very Low,Low,Medium,-83.057415,23.1
Lincoln County,AR,Medium,Low,Very Low,Very Low,Low,High,-110.900716,0.0
Little River County,AR,Medium,Low,Low,Very Low,Low,Low,-94.044735,16.8
Logan County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-81.984432,16.5
Lonoke County,AR,Low,Low,Low,Very Low,Low,Low,-91.957405,15.1
Madison County,AR,Medium,Low,Very Low,Very Low,Low,Low,-95.7565,22.3
Marion County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.220774,21.3
Miller County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-92.46004,20.1
Mississippi County,AR,Medium,Low,Medium,Very Low,Low,Medium,-89.535886,0.0
Monroe County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.795017,21.9
Montgomery County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.488108,28.6
Nevada County,AR,Medium,Low,Very Low,Very Low,Medium,Medium,-120.193941,47.2
Newton County,AR,Medium,Low,Very Low,Very Low,Low,Low,-93.601865,27.6
Ouachita County,AR,Medium,Low,Low,Very Low,Low,Low,-93.06959,15.1
Perry County,AR,Low,Low,Very Low,Very Low,Low,High,-77.133946,19.5
Phillips County,AR,High,Low,Very Low,Very Low,Low,Very High,-107.341334,13.8
Pike County,AR,Medium,Low,Very Low,Very Low,Low,High,-74.890774,35.1
Poinsett County,AR,Medium,Low,Low,Very Low,Low,Medium,-90.333336,19.0
Polk County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-92.634675,27.4
Pope County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-95.167978,0.0
Prairie County,AR,Medium,Low,Very Low,Very Low,Low,Very High,-105.312483,16.8
Pulaski County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-80.595817,0.0
Randolph County,AR,Low,Low,Very Low,Very Low,Low,Medium,-79.963734,18.1
St. Francis County,AR,Medium,Low,Low,Very Low,Low,Low,-90.681357,22.5
Saline County,AR,Low,Low,Very Low,Very Low,Low,High,-97.114886,14.0
Scott County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-82.563351,20.3
Sevier County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-111.866596,21.0
Sharp County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.480005,17.7
Stone County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-93.397142,32.1
Union County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-83.806439,14.7
Van Buren County,AR,Medium,Low,Very Low,Very Low,Low,High,-86.267118,19.2
Washington County,AR,Low,Low,Very Low,Very Low,Low,High,-88.047646,22.6
White County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-85.472439,17.5
Woodruff County,AR,Medium,Low,Very Low,Very Low,Low,Medium,-91.2353,20.5
Yell County,AR,Low,Low,Very Low,Very Low,Low,Low,-93.298056,15.9
Alameda County,CA,Low,Medium,Medium,Very Low,Low,Medium,-121.1826541,10.9
Alpine County,CA,Medium,Low,Medium,Very Low,Medium,Medium,-119.803267,44.7
Amador County,CA,Low,Low,Low,Very Low,Medium,Medium,-120.747469,30.3
Butte County,CA,Medium,Low,Very Low,Very Low,Low,Very High,-103.553842,17.2
Calaveras County,CA,Low,Low,Very Low,Very Low,Low,Medium,-120.537338,16.7
Colusa County,CA,Low,Low,Very Low,Very Low,Low,Medium,-122.544468,17.1
Contra Costa County,CA,Low,Medium,Low,Very Low,Medium,Medium,-122.087298,20.3
Del Norte County,CA,Medium,Low,Low,Very Low,Low,High,-124.066113,23.7
El Dorado County,CA,Low,Medium,Very Low,Very Low,Low,Medium,-120.796965,16.3
Fresno County,CA,Medium,Low,Low,Very Low,Low,Medium,-120.393534,25.9
Glenn County,CA,Medium,Low,Very Low,Very Low,Low,Medium,-122.199178,21.6
Humboldt County,CA,Medium,Low,Very Low,Very Low,Low,High,-117.724649,22.4
Imperial County,CA,Medium,Low,Very Low,Very Low,Low,Low,-114.637798,14.3
Inyo County,CA,Low,Low,Low,Very Low,Low,Medium,-117.335676,0.0
Kern County,CA,Medium,Low,Low,Very Low,Low,Medium,-118.472683,13.7
Kings County,CA,Medium,Low,Low,Very Low,Low,Medium,-119.798256,25.1
Lake County,CA,Medium,Low,Very Low,Very Low,Low,High,-97.215415,29.6
Lassen County,CA,Low,Low,Low,Very Low,Low,High,-121.004754,17.6
Los Angeles County,CA,Low,Medium,Low,Very High,Low,Low,-118.301838,20.5
Madera County,CA,Medium,Low,Medium,Very Low,Low,Medium,-119.796684,0.0
Marin County,CA,Low,High,Very Low,Very Low,High,Medium,-122.639317,42.6
Mariposa County,CA,Low,Low,Low,Very Low,Low,Medium,-119.577626,7.5
Mendocino County,CA,Medium,Low,Low,Very Low,Low,Medium,-123.348889,22.6
Merced County,CA,Medium,Low,Medium,Very Low,Low,Medium,-120.91448,32.1
Modoc County,CA,Medium,Low,Medium,Very Low,Low,High,-120.300964,0.0
Mono County,CA,Low,Low,Low,Very Low,Low,Medium,-119.518466,23.8
Monterey County,CA,Low,Medium,Low,Very Low,Low,Medium,-121.021732,21.1
Napa County,CA,Low,Medium,Low,Very Low,Medium,Medium,-122.30117,24.3
Nevada County,CA,Low,Medium,Very Low,Very Low,Medium,Medium,-120.193941,29.4
Orange County,CA,Low,Medium,Very Low,Very Low,Low,High,-72.550642,15.2
Placer County,CA,Low,Medium,Very Low,Very Low,Medium,Medium,-120.144735,18.8
Plumas County,CA,Low,Low,Low,Very Low,Low,High,-121.040363,0.0
Riverside County,CA,Low,Medium,Low,Low,Medium,Low,-117.368605,34.8
Sacramento County,CA,Low,Medium,Low,Very Low,Low,Medium,-121.468632,22.1
San Benito County,CA,Low,Medium,Low,Very Low,Medium,Medium,-121.310608,26.0
San Bernardino County,CA,Medium,Low,Low,Low,Low,Low,-117.627453,25.8
San Diego County,CA,Low,Medium,Low,Low,Medium,Low,-117.238608,24.1
San Joaquin County,CA,Low,Low,High,Very Low,Low,Medium,-121.184555,0.0
San Luis Obispo County,CA,Low,Medium,Low,Very Low,Medium,Low,-120.552393,44.3
San Mateo County,CA,Low,High,Very Low,Very Low,High,Medium,-122.203416,29.0
Santa Barbara County,CA,Low,Medium,Low,Very Low,Medium,Low,-120.461933,31.6
Santa Clara County,CA,Low,High,Very Low,Very Low,Medium,Medium,-122.026316,22.2
Santa Cruz County,CA,Low,Medium,Very Low,Very Low,Medium,Medium,-122.04136,23.3
Shasta County,CA,Medium,Low,Medium,Very Low,Low,High,-121.855665,28.2
Sierra County,CA,Low,Low,Low,Very Low,Low,Low,-107.269324,12.8
Siskiyou County,CA,Medium,Low,Very Low,Very Low,Low,High,-122.136221,29.8
Solano County,CA,Low,Medium,Low,Very Low,Medium,Medium,-122.010066,26.4
Sonoma County,CA,Low,Medium,Low,Very Low,Medium,Medium,-122.459831,29.3
Stanislaus County,CA,Medium,Low,Low,Very Low,Low,Medium,-120.914343,25.8
Sutter County,CA,Low,Low,Low,Very Low,Low,Medium,-121.639661,24.0
Tehama County,CA,Medium,Low,Low,Very Low,Low,High,-122.42834,31.4
Trinity County,CA,Medium,Low,Very Low,Very Low,Low,Low,-95.373564,26.9
Tulare County,CA,Medium,Low,Low,Very Low,Low,Medium,-119.090352,20.2
Tuolumne County,CA,Low,Low,Very Low,Very Low,Low,Medium,-120.242273,17.6
Ventura County,CA,Low,Medium,Very Low,Very Low,Medium,Low,-118.874235,29.1
Yolo County,CA,Low,Medium,Very Low,Very Low,Low,Medium,-121.809313,23.3
Yuba County,CA,Medium,Low,Low,Very Low,Medium,Medium,-121.292916,39.5
Adams County,CO,Low,Medium,Very Low,Very Low,Low,Very High,-103.6106598,14.7
Alamosa County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-105.876956,19.3
Arapahoe County,CO,Low,Medium,Low,Very Low,Medium,Medium,-104.576584,27.6
Archuleta County,CO,Low,Low,Very Low,Very Low,Low,Medium,-107.421744,23.8
Baca County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-102.279933,17.8
Bent County,CO,High,Low,Very Low,Very Low,Low,Medium,-103.223229,22.8
Boulder County,CO,Low,Medium,Very Low,Very Low,Low,High,-105.369587,0.0
Cheyenne County,CO,Low,Low,Very Low,Very Low,Low,High,-102.968591,14.8
Clear Creek County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-105.726666,15.5
Costilla County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-105.422469,14.7
Crowley County,CO,High,Low,Very Low,Very Low,Low,Medium,-103.756679,19.3
Custer County,CO,Low,Low,Very Low,Very Low,Low,High,-103.594582,16.7
Delta County,CO,Low,Low,Very Low,Very Low,Low,Low,-95.853057,16.3
Dolores County,CO,Low,Low,Very Low,Very Low,Low,Medium,-108.031434,24.4
Douglas County,CO,Low,High,Very Low,Very Low,Low,Very High,-91.799516,4.1
Eagle County,CO,Low,Medium,Very Low,Very Low,Medium,Medium,-106.381727,19.8
Elbert County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-104.081754,12.1
El Paso County,CO,Low,Medium,Low,Very Low,Low,Low,-106.57503,14.3
Fremont County,CO,Low,Low,Very Low,Very Low,Low,High,-108.106792,19.5
Garfield County,CO,Low,Medium,Very Low,Very Low,Low,Very High,-117.596667,12.5
Gilpin County,CO,Low,Medium,Low,Very Low,Low,High,-105.51355,0.0
Grand County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-109.703719,0.0
Gunnison County,CO,Low,Low,Low,Very Low,Medium,Medium,-107.190467,39.2
Jackson County,CO,Low,Low,Very Low,Very Low,Low,Medium,-81.708811,14.7
Jefferson County,CO,Low,Medium,Very Low,Very Low,Medium,Medium,-77.810685,22.7
Kiowa County,CO,Low,Low,Very Low,Very Low,Low,Low,-98.952306,12.7
Kit Carson County,CO,Low,Low,Very Low,Very Low,Low,Medium,-102.743352,19.5
Lake County,CO,Low,Low,Very Low,Very Low,Low,High,-97.215415,24.5
La Plata County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-107.594814,23.0
Larimer County,CO,Low,Medium,Very Low,Very Low,Medium,High,-105.005699,27.5
Las Animas County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-104.672861,16.2
Lincoln County,CO,Medium,Low,Very Low,Very Low,Low,High,-110.900716,0.0
Logan County,CO,Low,Low,Very Low,Very Low,Low,Medium,-81.984432,13.6
Mesa County,CO,Low,Low,Low,Very Low,Medium,Medium,-108.655022,29.4
Mineral County,CO,Low,Low,Very Low,Very Low,Low,Medium,-78.761355,14.6
Montezuma County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-108.726461,10.8
Montrose County,CO,Low,Low,Very Low,Very Low,Low,Medium,-107.982841,19.1
Morgan County,CO,Low,Low,Very Low,Very Low,Low,Medium,-78.455275,11.0
Otero County,CO,Medium,Low,Very Low,Very Low,Low,Low,-106.017299,20.0
Ouray County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-107.695234,0.0
Park County,CO,Low,Medium,Very Low,Very Low,Low,High,-108.860971,12.3
Phillips County,CO,Low,Low,Very Low,Very Low,Low,Very High,-107.341334,8.0
Pitkin County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-106.656275,0.0
Prowers County,CO,Medium,Low,Very Low,Very Low,Low,Medium,-102.719248,20.7
Pueblo County,CO,Medium,Low,Low,Very Low,Low,Medium,-104.588188,20.2
San Juan County,CO,Low,Low,Very Low,Very Low,Low,Medium,-109.420972,17.2
San Miguel County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-105.284209,0.0
Sedgwick County,CO,Low,Low,Very Low,Very Low,Low,Medium,-97.235365,27.1
Summit County,CO,Low,Medium,Very Low,Very Low,Low,High,-111.272208,15.8
Teller County,CO,Low,Medium,Very Low,Very Low,Low,Medium,-105.059533,20.7
Washington County,CO,Low,Low,Very Low,Very Low,Low,High,-88.047646,22.1
Weld County,CO,Low,Medium,Very Low,Very Low,Medium,High,-104.923106,21.7
Yuma County,CO,Low,Low,Very Low,Very Low,Low,High,-102.228622,17.0
Fairfield County,CT,Low,Medium,Very Low,Very Low,Low,Low,-81.090658,8.0
Hartford County,CT,Low,Medium,Low,Very Low,Medium,High,-72.844906,30.3
Litchfield County,CT,Low,Medium,Very Low,Very Low,Low,High,-73.204765,18.4
Middlesex County,CT,Low,Medium,Very Low,Very Low,Medium,Medium,-76.593798,18.1
New Haven County,CT,Low,Medium,Low,Very Low,Low,High,-73.036685,17.4
New London County,CT,Low,Medium,Very Low,Very Low,Medium,High,-71.899459,24.0
Tolland County,CT,Low,Medium,Very Low,Very Low,Low,High,-72.452505,13.3
Windham County,CT,Low,Medium,Very Low,Very Low,Low,High,-72.600362,13.3
Kent County,DE,Low,Low,Very Low,Very Low,Low,Low,-100.659691,0.0
New Castle County,DE,Low,Medium,Medium,Very Low,Low,High,-75.532104,16.6
Sussex County,DE,Low,Low,Very Low,Very Low,Low,Medium,-76.988096,18.1
District of Columbia,DC,Low,Medium,Very High,Very Low,Low,Medium,-77.0238468,16.1
Alachua County,FL,Medium,Low,Medium,Very Low,Low,Low,-85.7854788,16.7
Baker County,FL,Low,Low,Very Low,Very Low,Low,Very High,-123.1954117,19.9
Bay County,FL,Low,Low,Low,Very Low,Low,Very Low,-85.612204,20.9
Bradford County,FL,Medium,Low,Very Low,Very Low,Low,High,-76.446503,24.4
Brevard County,FL,Low,Low,Low,Very Low,Medium,Very Low,-80.733809,33.5
Broward County,FL,Low,Low,Low,Very Low,Medium,Very Low,-80.18101,28.0
Calhoun County,FL,Medium,Low,Very Low,Very Low,Low,Very Low,-96.555402,33.0
Charlotte County,FL,Low,Low,Very Low,Very Low,Low,Medium,-78.480365,14.5
Citrus County,FL,Low,Low,Low,Very Low,Low,Very Low,-82.476184,33.1
Clay County,FL,Low,Medium,Very Low,Very Low,Low,Low,-98.231798,12.3
Collier County,FL,Low,Medium,Very Low,Very Low,Medium,Very Low,-81.727851,24.0
Columbia County,FL,Medium,Low,Very Low,Very Low,Low,High,-89.240512,20.1
DeSoto County,FL,Medium,Low,Very Low,Very Low,Low,Low,-89.977669,35.1
Duval County,FL,Low,Low,Medium,Very Low,Medium,Very Low,-81.39661,33.7
Escambia County,FL,Low,Low,Medium,Very Low,Low,Very Low,-87.29402,21.0
Flagler County,FL,Low,Low,Very Low,Very Low,Low,Very Low,-81.213791,0.0
Franklin County,FL,Medium,Low,Very Low,Very Low,Low,Very High,-118.556564,22.6
Gadsden County,FL,Medium,Low,Low,Very Low,Low,Low,-84.460564,32.4
Gilchrist County,FL,Medium,Low,Very Low,Very Low,Low,Very Low,-82.92507,19.4
Glades County,FL,Medium,Low,Low,Very Low,Low,Very Low,-80.885148,23.8
Hamilton County,FL,Medium,Low,Very Low,Very Low,Low,Low,-98.119669,24.1
Hendry County,FL,Medium,Low,Medium,Very Low,Medium,Very Low,-81.217109,37.0
Hernando County,FL,Low,Low,Low,Very Low,Low,Very Low,-82.602431,28.6
Highlands County,FL,Medium,Low,Very Low,Very Low,Low,Very Low,-81.451574,23.2
Hillsborough County,FL,Low,Low,Very Low,Very Low,Medium,High,-71.513482,27.7
Holmes County,FL,Medium,Low,Very Low,Very Low,Low,High,-81.694681,25.9
Indian River County,FL,Low,Low,Low,Very Low,Medium,Very Low,-80.396496,41.0
Jackson County,FL,Medium,Low,Very Low,Very Low,Low,Medium,-81.708811,18.7
Jefferson County,FL,Medium,Low,Very Low,Very Low,Medium,Medium,-77.810685,38.3
Lafayette County,FL,Medium,Low,Very Low,Very Low,Low,High,-89.857206,21.5
Lake County,FL,Low,Low,Very Low,Very Low,Low,High,-97.215415,22.6
Lee County,FL,Low,Low,Very Low,Very Low,Low,Medium,-83.057415,13.0
Leon County,FL,Medium,Low,Very Low,Very Low,Low,Low,-96.115745,16.2
Levy County,FL,Medium,Low,Very Low,Very Low,Low,Very Low,-82.416484,24.2
Liberty County,FL,Medium,Low,Very Low,Very Low,Low,Very Low,-95.095802,22.8
Madison County,FL,Medium,Low,Very Low,Very Low,Low,Low,-95.7565,26.6
Manatee County,FL,Low,Low,Medium,Very Low,Medium,Very Low,-82.566655,31.8
Marion County,FL,Medium,Low,Very Low,Very Low,Low,Medium,-80.220774,18.6
Martin County,FL,Low,Low,Very Low,Very Low,Low,Low,-101.793032,17.7
Miami-Dade County,FL,Medium,Low,Medium,Low,Medium,Very Low,-80.296874,34.3
Monroe County,FL,Low,Medium,Very Low,Very Low,Low,Medium,-80.795017,11.6
Nassau County,FL,Low,Low,Very Low,Very Low,Medium,High,-73.706215,47.5
Okaloosa County,FL,Low,Low,Low,Very Low,Low,Low,-86.641974,21.5
Orange County,FL,Low,Low,Very Low,Very Low,Low,High,-72.550642,23.5
Osceola County,FL,Medium,Low,Very Low,Very Low,Low,High,-85.458778,20.4
Palm Beach County,FL,Low,Low,Low,Very Low,Medium,Very Low,-80.037795,38.7
Pasco County,FL,Low,Low,Low,Very Low,Low,Very Low,-82.20506,20.7
Pinellas County,FL,Low,Low,Low,Very Low,Low,Very Low,-82.738604,21.1
Polk County,FL,Low,Low,Very Low,Very Low,Low,Very High,-92.634675,21.6
Putnam County,FL,Medium,Low,Very Low,Very Low,Low,Medium,-81.81221,26.8
St. Johns County,FL,Low,Medium,Very Low,Very Low,Low,Very Low,-81.311673,19.4
St. Lucie County,FL,Low,Low,Low,Very Low,Low,Very Low,-80.341718,24.7
Santa Rosa County,FL,Low,Medium,Very Low,Very Low,Low,Low,-87.051734,19.0
Sarasota County,FL,Low,Low,Low,Very Low,Low,Very Low,-82.408943,23.4
Seminole County,FL,Low,Medium,Very Low,Very Low,Low,Low,-96.525316,11.0
Sumter County,FL,Low,Low,Very Low,Very Low,Medium,Low,-80.52594,26.2
Taylor County,FL,Medium,Low,Very Low,Very Low,Low,Medium,-80.128512,14.5
Union County,FL,Medium,Low,Very Low,Very Low,Low,Medium,-83.806439,15.1
Volusia County,FL,Low,Low,Low,Very Low,Low,Very Low,-81.45664,21.1
